2022/02/07 20:58:01 Logging to a file in Go!
2022/02/20 18:39:49 User was found%!(EXTRA *entity.User=&{2750f662-66f7-4c75-a289-c38584587952 rrrrrrrrrrr $2a$14$NWZDEvFql0PuT9rhBnoOUuc8AIrUv7opQ5e5QhavEIZA.UZmJ1gHK})
2022/02/20 18:40:53 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 zaz600 })
2022/02/20 18:41:19 User was found%!(EXTRA *entity.User=&{2750f662-66f7-4c75-a289-c38584587952 rrrrrrrrrrr $2a$14$NWZDEvFql0PuT9rhBnoOUuc8AIrUv7opQ5e5QhavEIZA.UZmJ1gHK})
2022/02/20 18:47:32 User was found%!(EXTRA *entity.User=&{2750f662-66f7-4c75-a289-c38584587952 rrrrrrrrrrr $2a$14$NWZDEvFql0PuT9rhBnoOUuc8AIrUv7opQ5e5QhavEIZA.UZmJ1gHK})
2022/02/20 18:48:11 User was found%!(EXTRA *entity.User=&{2750f662-66f7-4c75-a289-c38584587952 rrrrrrrrrrr $2a$14$NWZDEvFql0PuT9rhBnoOUuc8AIrUv7opQ5e5QhavEIZA.UZmJ1gHK})
2022/02/20 18:53:59 User was found%!(EXTRA *entity.User=&{2750f662-66f7-4c75-a289-c38584587952 rrrrrrrrrrr $2a$14$NWZDEvFql0PuT9rhBnoOUuc8AIrUv7opQ5e5QhavEIZA.UZmJ1gHK})
2022/02/20 18:54:00 User was found%!(EXTRA *entity.User=&{2750f662-66f7-4c75-a289-c38584587952 rrrrrrrrrrr $2a$14$NWZDEvFql0PuT9rhBnoOUuc8AIrUv7opQ5e5QhavEIZA.UZmJ1gHK})
2022/02/20 18:54:01 User was found%!(EXTRA *entity.User=&{2750f662-66f7-4c75-a289-c38584587952 rrrrrrrrrrr $2a$14$NWZDEvFql0PuT9rhBnoOUuc8AIrUv7opQ5e5QhavEIZA.UZmJ1gHK})
2022/02/20 19:25:40 User was found%!(EXTRA *entity.User=&{2750f662-66f7-4c75-a289-c38584587952 rrrrrrrrrrr $2a$14$NWZDEvFql0PuT9rhBnoOUuc8AIrUv7opQ5e5QhavEIZA.UZmJ1gHK})
2022/03/09 13:58:15 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/09 13:58:32 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/09 14:01:13 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/09 14:03:37 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/09 14:07:43 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/09 14:08:55 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/09 14:09:37 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/09 14:10:52 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/09 14:14:02 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/09 14:14:48 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/09 14:15:47 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/09 14:16:25 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/09 14:19:33 User was found%!(EXTRA *entity.User=&{8288d2da-9cca-4b58-a9c6-7fbd9ab226ce Test $2a$14$2vsA3RSLj6icrDfGsprrQuKVf36sRE3GPgkwAcUpy/KshXu9ssuvS})
2022/03/09 14:21:38 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/09 15:47:36 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/09 15:56:20 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/09 15:56:26 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/09 15:56:49 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/09 16:01:10 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/20 09:43:24 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/20 09:56:47 Couldn't create user%!(EXTRA *errors.errorString=request was incorrect, user name should contain at least 4 characters)
2022/03/20 09:58:02 Couldn't create user%!(EXTRA *errors.errorString=request was incorrect, user name should contain at least 4 characters)
2022/03/20 09:59:31 Couldn't create user%!(EXTRA *errors.errorString=request was incorrect, user name should contain at least 4 characters)
2022/03/20 10:01:04 User &{6dfae5e5-3fe7-485f-82f3-53240a7fb9eb Testweeterere $2a$14$GejRIFNU51E5wwhnDITXoOHtA9sYnfTBsMEv5FZJ23YhDYvQyiJAK} was created
2022/03/20 10:37:29 User &{4c0625d1-14c0-4fdb-8cd8-b8872e3991c0 Testweeterere $2a$14$VYfdfDXYpK6pY4n6j79Wn.ZHHUu08WLzhX./sGjM62InECZRuBonu} was created
2022/03/20 10:38:58 User &{541e7f67-1648-4975-901d-9be9a522447f Testweeterere $2a$14$z2aLUmWCnViTvzIqAXLsZuHDW7bqifqVfbqkSK04HlJGDh8FCie.G} was created
2022/03/20 12:34:26 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/20 12:34:35 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/20 12:35:02 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/20 12:35:52 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/20 12:45:39 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 Jinzhu 122234234})
2022/03/20 12:46:17 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 zaz600 })
2022/03/20 12:49:57 User was found%!(EXTRA *entity.User=&{00000000-0000-0000-0000-000000000000 z })
